A1,A6,A15,A18,A25,A27,A28,A36,A47,A49,A53,A54,A62,A65,A71,A73,A76,A77,A79,A84,A88,A95,label
2.6890397,0.18532847,-0.6081366,0.1747041,2.5541286,1.7183187,0.87002295,0.13297312,0.1693601,2.614468,0.47205833,0.30815157,2.5539546,0.4669414,0.55118674,2.6777158,0.8607758,0.46022302,2.690552,0.19507778,0.8949636,0.4053403,MDD
2.6738024,0.48422632,1.2026126,0.22642164,2.556435,0.76145315,0.8408421,0.2886082,0.40835124,2.631116,0.61715335,0.39378944,2.8964906,0.6319737,0.53952926,2.6238792,0.890098,0.518753,2.5926886,0.27310097,0.9494817,0.56810004,MDD
2.603576,0.39204678,1.1703316,0.21515667,2.6166525,1.3751099,0.8972735,0.2048251,0.50942916,2.6319213,0.5498183,0.28301644,3.0036743,0.62531143,0.49425912,2.6229594,0.9040992,0.4529349,2.6214378,0.18669513,0.85789746,0.5441733,MDD
2.5678017,0.30775195,1.0389458,0.2875524,2.4727354,0.73029554,0.80070627,0.25434732,0.5963046,2.6288097,0.40269756,0.32003775,2.6060162,0.41918376,0.5050348,2.6155105,0.75244653,0.5070532,2.6292608,0.20382811,0.8659981,0.42804283,MDD
2.6193361,0.5338163,1.1304762,0.24262421,2.611175,1.5168205,0.7930774,0.18320747,0.5496298,2.6047797,0.61063135,0.44265485,3.0440655,0.5114737,0.63181454,2.532366,0.9133295,0.57308286,2.6322079,0.29579955,0.8634581,0.5384083,MDD
2.6199338,0.3975362,0.7919189,0.22153541,2.4935107,0.746778,0.88901764,0.24918191,0.5284901,2.628042,0.625797,0.28872502,2.7692285,0.40250897,0.47170284,2.5319958,0.90014416,0.551095,2.4726124,0.23662713,0.80547774,0.49180523,MDD
2.5341592,0.38926616,1.3486146,0.24056274,2.567886,1.0319854,0.8501974,0.2882382,0.54047346,2.6162155,0.5346625,0.32734793,2.7049234,0.55154985,0.5004591,2.6073034,0.8951316,0.4903915,2.5786884,0.30484557,0.9087027,0.4642583,MDD
2.5176797,0.44675606,0.91779333,0.23425531,2.597426,0.9102984,0.8533078,0.2411168,0.50435555,2.5008104,0.59123695,0.40324876,2.88198,0.45095393,0.5030896,2.4526806,0.86734515,0.5130494,2.5486279,0.30329424,0.92296916,0.535508,MDD
2.5598996,0.41351753,1.3093922,0.2256192,2.5770037,0.79747856,0.78350806,0.20373814,0.5656161,2.54955,0.49920353,0.30971262,3.0370307,0.56478715,0.5968344,2.5444667,0.815075,0.5459695,2.5753078,0.1504297,0.85540247,0.55355835,MDD
2.6511421,0.46429455,0.78117603,0.18818,2.492526,0.90289915,0.8388075,0.28797522,0.5093076,2.6193855,0.5721544,0.33499384,2.8731725,0.47292432,0.5180867,2.6106997,0.7933946,0.4103157,2.6190531,0.25857446,0.93917596,0.45255336,MDD
2.6257558,0.45339155,1.5575944,0.38294077,2.5955381,1.1862617,0.84134007,0.29917085,0.43760076,2.6375,0.6469733,0.37869242,2.9017985,0.5391107,0.5468392,2.6138217,0.8783127,0.47111136,2.6074796,0.33699465,0.9063527,0.6219054,MDD
2.6235213,0.49609834,1.6147193,0.3073811,2.5871172,2.3614376,0.80908024,0.28755727,0.5969593,2.625996,0.61580837,0.42358518,2.7608836,0.61981094,0.555372,2.5466518,0.818476,0.5441612,2.617297,0.33621147,0.97909874,0.65732324,MDD
2.5855136,0.30700666,0.19610572,0.21142192,2.6144233,1.5198945,0.79277164,0.28858867,0.51185584,2.6183953,0.6059708,0.31610638,2.7726383,0.54206693,0.538167,2.5724685,0.82589597,0.4170971,2.6173954,0.26993608,0.9322378,0.5952803,MDD
2.5211306,0.35200313,0.38094026,0.20123821,2.5719929,0.80027086,0.83888716,0.2603951,0.47158456,2.6168866,0.57012767,0.32948363,2.9094083,0.403386,0.53160244,2.612618,0.8014046,0.62363595,2.6162848,0.26304993,0.81256354,0.46840397,MDD
2.633984,0.3357198,1.1375759,0.1744592,2.5078073,1.7989843,0.8879216,0.22380182,0.4968323,2.4393568,0.44942266,0.45731354,3.359931,0.5101058,0.5553969,2.5080311,0.84157515,0.5393617,2.584598,0.24908625,0.91768223,0.46981838,MDD
2.59303,0.5005016,0.8124357,0.19849129,2.5149922,1.6013975,0.9257727,0.28617918,0.6234056,2.5043342,0.5367601,0.4221479,3.013355,0.4939031,0.4867746,2.639121,0.9657593,0.5049754,2.5661922,0.22590967,0.8791947,0.5302947,MDD
2.6520917,0.43931338,1.0250329,0.080817424,2.5257423,1.0962152,0.854219,0.23938927,0.43448684,2.617623,0.62152004,0.33166483,3.0545132,0.40092295,0.5204437,2.579119,0.89947325,0.6499126,2.5762608,0.16702397,0.89291793,0.48296064,MDD
2.6631455,0.379321,0.71738803,0.13257945,2.592245,1.541877,0.7838248,0.18155378,0.4718494,2.6107862,0.6577855,0.3165921,2.7016022,0.4318302,0.53251356,2.579728,0.82753897,0.47980008,2.6060798,0.107118994,0.8451277,0.5320955,MDD
2.6418426,0.32180494,0.53438634,0.16341318,2.5344267,0.90979576,0.78652745,0.19864391,0.48145804,2.5602794,0.49846372,0.33844265,2.4818814,0.6380981,0.59469557,2.5879984,0.83236283,0.59941494,2.5904253,0.15705453,0.8591803,0.5656136,MDD
2.6270638,0.38185373,1.4806175,0.19391407,2.6056616,1.9675303,0.70698,0.17580321,0.583766,2.6396003,0.4628683,0.3914103,3.0582933,0.5327461,0.5708865,2.6203341,0.8357719,0.44744575,2.5868711,0.13962452,0.80689806,0.41300285,MDD
2.5689068,0.37572324,0.09716213,0.16568425,2.5709014,1.3200886,0.87387145,0.34644288,0.48625696,2.6235447,0.5778332,0.3390894,2.881247,0.50308865,0.640573,2.540634,0.8355509,0.57760674,2.5690787,0.22100878,0.8970208,0.5561908,MDD
2.511821,0.33175114,0.7527533,0.21005613,2.6235647,1.6567214,0.8071852,0.2617444,0.32124546,2.5884306,0.57106835,0.30860415,3.1012478,0.589289,0.5512071,2.6318998,0.84406745,0.43595716,2.587663,0.23747703,0.87534565,0.57553935,MDD
2.5830393,0.3950171,1.0822903,0.24988337,2.5874898,1.8347504,0.783769,0.2593092,0.62739694,2.5767498,0.38654017,0.26612633,2.9141552,0.47367054,0.56134355,2.5750215,0.8598763,0.685654,2.5868063,0.27592343,0.8312594,0.61257607,MDD
2.5181746,0.4131846,1.610104,0.21479529,2.6065512,1.3051097,0.8122165,0.33992976,0.5952854,2.6071935,0.6350597,0.30318785,2.431306,0.5986061,0.5860172,2.5056512,0.8264651,0.560881,2.6157804,0.17568196,0.87525976,0.527174,MDD
2.5478902,0.38722873,1.5226283,0.21938771,2.585978,1.4762845,0.7163361,0.3311654,0.45132864,2.6281602,0.53938955,0.25600997,2.9226568,0.56328565,0.51023257,2.58673,0.81080866,0.55230933,2.5973237,0.22678752,0.8701791,0.45905337,MDD
2.606369,0.35652962,1.4648466,0.18982884,2.4900873,1.1690515,0.86749774,0.24466172,0.5375523,2.6144292,0.6570233,0.32185608,3.0663357,0.5990557,0.48893088,2.5424194,0.835881,0.47185767,2.441431,0.22692178,0.8547204,0.5651156,MDD
2.5577574,0.3772191,1.3936987,0.2564544,2.5832784,1.3228004,0.8110758,0.24134898,0.5290207,2.5822418,0.6416525,0.33051082,3.0183296,0.5038493,0.45703056,2.500671,0.81733143,0.55744576,2.5349905,0.27828032,0.8653347,0.41763136,MDD
2.5465982,0.37710407,0.4779073,0.16758545,2.588367,0.45735374,0.7366837,0.21765113,0.5142631,2.632161,0.62847763,0.29460946,2.8654904,0.61894435,0.62857985,2.5938444,0.88786155,0.5379132,2.5440204,0.20499319,0.84791017,0.60811436,MDD
2.5859206,0.46362853,1.7280524,0.2500215,2.5650046,1.1362641,0.84091204,0.22155038,0.47798592,2.6128204,0.60911393,0.37807494,3.0244236,0.49669522,0.54938215,2.6199338,0.8326696,0.48905915,2.564194,0.23877016,0.9286776,0.62551147,MDD
2.6123753,0.37184024,0.5062396,0.19846699,2.558547,0.9580812,0.8018559,0.2012744,0.5123512,2.611313,0.48324007,0.31133154,3.0956028,0.50158083,0.52745587,2.5200846,0.8679679,0.5312987,2.5615,0.18296883,0.88320565,0.5858846,MDD
2.5961044,0.36591113,0.5489691,0.19549516,2.5877643,1.5610205,0.79998255,0.24150935,0.63145804,2.6162534,0.5825555,0.29245007,2.0154288,0.57971054,0.62747556,2.5387583,0.77742916,0.511534,2.548111,0.24244043,0.8602215,0.5399658,MDD
2.5960925,0.33540016,0.46326634,0.09312484,2.5986981,0.9475186,0.8621213,0.2380647,0.55185044,2.6129093,0.5363011,0.34609187,2.3596683,0.62653387,0.6155034,2.6642063,0.9098515,0.46519578,2.6267743,0.22318088,0.9237214,0.6030493,MDD
2.5632904,0.43681127,0.69656175,0.19998981,2.6078632,1.6154381,0.79673123,0.34663388,0.49750617,2.6107314,0.60115826,0.34180024,2.6943433,0.5044563,0.4867059,2.5644615,0.91059273,0.61279356,2.5787125,0.23200476,0.93780416,0.56811553,MDD
